manufacturer,model,max_seats,max_weight,max_distance,engine_type
Boeing,737-800,189,79015,2935,CFM56-7B
Boeing,777-300ER,396,351535,7930,GE90-115B
Boeing,787-9,296,254000,7635,GEnx-1B
Airbus,A320neo,194,79000,3700,CFM LEAP-1A
Airbus,A350-900,440,280000,8100,Rolls-Royce Trent XWB
Airbus,A380-800,853,560000,8000,Rolls-Royce Trent 900
Embraer,E190-E2,114,56600,3250,PW1900G
Embraer,E175,88,37500,2200,CF34-8E
Embraer,E195-E2,146,61700,2600,PW1900G
Bombardier,CRJ900,90,38530,1554,CF34-8C5
Bombardier,Q400,90,29257,1567,PW150A
Cessna,Citation X+,12,16555,3516,AE3007C2
Cessna,Citation Latitude,9,13605,2700,PW306D1
Gulfstream,G650,19,45360,7500,BR725
Gulfstream,G550,19,41300,6750,BR710
Dassault,Falcon 7X,19,31750,5950,PW307A
Dassault,Falcon 2000LXS,10,19105,4000,PW308C
Mitsubishi,SpaceJet M90,92,39000,2030,PW1200G
COMAC,C919,174,72500,2555,CFM LEAP-1C
